added_probes,total_candidates,residual_greedy_certified,uncertainty_sampling_certified,diversity_sampling_certified,benchmark_aligned_certified,random_mean_certified,random_p10_certified,random_p90_certified,residual_greedy_frac,uncertainty_frac,diversity_frac,benchmark_aligned_frac,random_mean_frac
0,400,183,183,183,183,183.0,183.0,183.0,0.4575,0.4575,0.4575,0.4575,0.4575
1,400,200,187,186,191,191.79,187.0,198.0,0.5,0.4675,0.465,0.4775,0.479475
2,400,234,191,187,192,202.855,192.0,221.0,0.585,0.4775,0.4675,0.48,0.5071375
3,400,283,191,191,216,237.29,200.0,271.0,0.7075,0.4775,0.4775,0.54,0.593225
4,400,400,400,400,400,400.0,400.0,400.0,1.0,1.0,1.0,1.0,1.0
5,400,400,400,400,400,400.0,400.0,400.0,1.0,1.0,1.0,1.0,1.0
6,400,400,400,400,400,400.0,400.0,400.0,1.0,1.0,1.0,1.0,1.0
7,400,400,400,400,400,400.0,400.0,400.0,1.0,1.0,1.0,1.0,1.0
8,400,400,400,400,400,400.0,400.0,400.0,1.0,1.0,1.0,1.0,1.0
9,400,400,400,400,400,400.0,400.0,400.0,1.0,1.0,1.0,1.0,1.0
10,400,400,400,400,400,400.0,400.0,400.0,1.0,1.0,1.0,1.0,1.0
11,400,400,400,400,400,400.0,400.0,400.0,1.0,1.0,1.0,1.0,1.0
12,400,400,400,400,400,400.0,400.0,400.0,1.0,1.0,1.0,1.0,1.0
