seed,best_benchmark_model,best_benchmark_mae,best_benchmark_certified_fraction,best_benchmark_certified_error,best_certification_model,best_certification_mae,best_certification_fraction,best_certification_error,model_choice_changed
0,alignn_model,0.0,0.0,nan,kgcnn_schnet,0.036490743725808565,0.02656137832017229,0.0,True
1,alignn_model,0.0,0.0,nan,matminer_xgboost,0.07339675968729654,0.02297200287150036,0.015625,True
2,alignn_model,0.0,0.0,nan,cfid_chem,0.22264127994076346,0.0003589375448671931,0.0,True
3,alignn_model,0.0,0.003230437903804738,0.2222222222222222,cfid_chem,0.22264127994076346,0.0003589375448671931,0.0,True
4,alignn_model,0.0,0.0,nan,cfid_chem,0.22264127994076346,0.0010768126346015793,0.0,True
5,alignn_model,0.0,0.0,nan,matminer_xgboost,0.07339675968729654,0.01615218951902369,0.022222222222222223,True
6,alignn_model,0.0,0.002871500358937545,0.25,matminer_rf,0.09595935504008139,0.007537688442211055,0.0,True
7,alignn_model,0.0,0.0,nan,matminer_rf,0.09595935504008139,0.01256281407035176,0.0,True
8,alignn_model,0.0,0.0,nan,cfid_chem,0.22264127994076346,0.0003589375448671931,0.0,True
9,alignn_model,0.0,0.0,nan,kgcnn_coNGN,0.02909801011437096,0.0366116295764537,0.00980392156862745,True
10,alignn_model,0.0,0.0,nan,matminer_xgboost,0.07339675968729654,0.012203876525484566,0.0,True
11,alignn_model,0.0,0.0,nan,matminer_rf,0.09595935504008139,0.007178750897343862,0.0,True
12,alignn_model,0.0,0.0,nan,atomgpt_model,0.00025085068198133626,0.002512562814070352,0.0,True
13,alignn_model,0.0,0.0,nan,atomgpt_model,0.00025085068198133626,0.002512562814070352,0.0,True
14,alignn_model,0.0,0.0,nan,matminer_rf,0.09595935504008139,0.012203876525484566,0.0,True
15,alignn_model,0.0,0.0,nan,matminer_rf,0.09595935504008139,0.00574300071787509,0.0,True
16,alignn_model,0.0,0.0,nan,cfid,0.1418601304787034,0.003948312993539124,0.0,True
17,alignn_model,0.0,0.0,nan,cfid,0.1418601304787034,0.003589375448671931,0.0,True
18,alignn_model,0.0,0.0,nan,cfid_chem,0.22264127994076346,0.0003589375448671931,0.0,True
19,alignn_model,0.0,0.0,nan,matminer_rf,0.09595935504008139,0.00933237616654702,0.0,True
20,alignn_model,0.0,0.0,nan,matminer_rf,0.09595935504008139,0.01399856424982053,0.0,True
21,alignn_model,0.0,0.0,nan,matminer_rf,0.09595935504008139,0.01256281407035176,0.0,True
22,alignn_model,0.0,0.0021536252692031586,0.3333333333333333,matminer_rf,0.09595935504008139,0.007537688442211055,0.0,True
23,alignn_model,0.0,0.0,nan,kgcnn_dimenetPP,0.052822693998661796,0.02907394113424264,0.024691358024691357,True
24,alignn_model,0.0,0.0,nan,matminer_xgboost,0.07339675968729654,0.012203876525484566,0.0,True
25,alignn_model,0.0,0.0,nan,kgcnn_dimenetPP,0.052822693998661796,0.02189519023689878,0.0,True
26,alignn_model,0.0,0.0,nan,cfid_chem,0.22264127994076346,0.0017946877243359654,0.0,True
27,alignn_model,0.0,0.0,nan,matminer_xgboost,0.07339675968729654,0.01615218951902369,0.022222222222222223,True
28,alignn_model,0.0,0.0,nan,matminer_rf,0.09595935504008139,0.008255563531945441,0.0,True
29,alignn_model,0.0,0.0,nan,cfid_chem,0.22264127994076346,0.0007178750897343862,0.0,True
30,alignn_model,0.0,0.0,nan,kgcnn_coNGN,0.02909801011437096,0.03445800430725054,0.020833333333333332,True
31,alignn_model,0.0,0.0,nan,matminer_rf,0.09595935504008139,0.009691313711414214,0.0,True
32,alignn_model,0.0,0.0,nan,matminer_rf,0.09595935504008139,0.007537688442211055,0.0,True
33,alignn_model,0.0,0.0,nan,matminer_xgboost,0.07339675968729654,0.023689877961234746,0.0,True
34,alignn_model,0.0,0.0,nan,matminer_rf,0.09595935504008139,0.0068198133524766695,0.0,True
35,alignn_model,0.0,0.0,nan,cfid,0.1418601304787034,0.002512562814070352,0.0,True
36,alignn_model,0.0,0.0,nan,matminer_rf,0.09595935504008139,0.020100502512562814,0.017857142857142856,True
37,alignn_model,0.0,0.002512562814070352,0.2857142857142857,matminer_xgboost,0.07339675968729654,0.012921751615218953,0.0,True
38,alignn_model,0.0,0.0,nan,matminer_rf,0.09595935504008139,0.011127063890882987,0.0,True
39,alignn_model,0.0,0.0017946877243359654,0.4,matminer_xgboost,0.07339675968729654,0.012203876525484566,0.0,True
40,alignn_model,0.0,0.0,nan,cfid,0.1418601304787034,0.003230437903804738,0.0,True
41,alignn_model,0.0,0.0,nan,matminer_rf,0.09595935504008139,0.010768126346015794,0.0,True
42,alignn_model,0.0,0.0,nan,cfid,0.1418601304787034,0.0014357501794687725,0.0,True
43,alignn_model,0.0,0.0,nan,matminer_xgboost,0.07339675968729654,0.011844938980617373,0.0,True
44,alignn_model,0.0,0.0,nan,matminer_rf,0.09595935504008139,0.00933237616654702,0.0,True
45,alignn_model,0.0,0.002871500358937545,0.25,matminer_rf,0.09595935504008139,0.007537688442211055,0.0,True
46,alignn_model,0.0,0.0,nan,matminer_rf,0.09595935504008139,0.006460875807609476,0.0,True
47,alignn_model,0.0,0.0,nan,cfid,0.1418601304787034,0.002871500358937545,0.0,True
48,alignn_model,0.0,0.002512562814070352,0.2857142857142857,matminer_xgboost,0.07339675968729654,0.03338119167264896,0.010752688172043012,True
49,alignn_model,0.0,0.0,nan,kgcnn_coNGN,0.02909801011437096,0.05563531945441493,0.03225806451612903,True
