acquisition_cost_per_candidate,baseline_total_cost,certify_acquire_total_cost,domain,model_id,relative_cost_reduction,seed
0.001,26.0,2.195,Tox21,,0.9155769230769231,0
0.005,26.0,10.975,Tox21,,0.5778846153846153,0
0.01,26.0,21.95,Tox21,,0.15576923076923077,0
0.025,26.0,54.875,Tox21,,-1.110576923076923,0
0.05,26.0,109.75,Tox21,,-3.221153846153846,0
0.1,26.0,219.5,Tox21,,-7.442307692307692,0
0.2,26.0,439.0,Tox21,,-15.884615384615383,0
0.5,26.0,1097.5,Tox21,,-41.21153846153846,0
0.001,23.0,2.195,Tox21,,0.9045652173913044,1
0.005,23.0,10.975,Tox21,,0.5228260869565218,1
0.01,23.0,21.95,Tox21,,0.04565217391304355,1
0.025,23.0,54.875,Tox21,,-1.3858695652173911,1
0.05,23.0,109.75,Tox21,,-3.7717391304347823,1
0.1,23.0,219.5,Tox21,,-8.543478260869565,1
0.2,23.0,439.0,Tox21,,-18.08695652173913,1
0.5,23.0,1097.5,Tox21,,-46.71739130434783,1
0.001,31.0,2.195,Tox21,,0.9291935483870968,2
0.005,31.0,10.975,Tox21,,0.6459677419354839,2
0.01,31.0,21.95,Tox21,,0.2919354838709678,2
0.025,31.0,54.875,Tox21,,-0.7701612903225807,2
0.05,31.0,109.75,Tox21,,-2.5403225806451615,2
0.1,31.0,219.5,Tox21,,-6.080645161290323,2
0.2,31.0,439.0,Tox21,,-13.161290322580646,2
0.5,31.0,1097.5,Tox21,,-34.403225806451616,2
0.001,27.0,2.195,Tox21,,0.9187037037037037,3
0.005,27.0,10.975,Tox21,,0.5935185185185186,3
0.01,27.0,21.95,Tox21,,0.1870370370370371,3
0.025,27.0,54.875,Tox21,,-1.0324074074074074,3
0.05,27.0,109.75,Tox21,,-3.064814814814815,3
0.1,27.0,219.5,Tox21,,-7.12962962962963,3
0.2,27.0,439.0,Tox21,,-15.25925925925926,3
0.5,27.0,1097.5,Tox21,,-39.648148148148145,3
0.001,31.0,2.195,Tox21,,0.9291935483870968,4
0.005,31.0,10.975,Tox21,,0.6459677419354839,4
0.01,31.0,21.95,Tox21,,0.2919354838709678,4
0.025,31.0,54.875,Tox21,,-0.7701612903225807,4
0.05,31.0,109.75,Tox21,,-2.5403225806451615,4
0.1,31.0,219.5,Tox21,,-6.080645161290323,4
0.2,31.0,439.0,Tox21,,-13.161290322580646,4
0.5,31.0,1097.5,Tox21,,-34.403225806451616,4
0.001,24.0,2.195,Tox21,,0.9085416666666667,5
0.005,24.0,10.975,Tox21,,0.5427083333333333,5
0.01,24.0,21.95,Tox21,,0.0854166666666667,5
0.025,24.0,54.875,Tox21,,-1.2864583333333335,5
0.05,24.0,109.75,Tox21,,-3.572916666666667,5
0.1,24.0,219.5,Tox21,,-8.145833333333334,5
0.2,24.0,439.0,Tox21,,-17.291666666666668,5
0.5,24.0,1097.5,Tox21,,-44.729166666666664,5
0.001,23.0,2.195,Tox21,,0.9045652173913044,6
0.005,23.0,10.975,Tox21,,0.5228260869565218,6
0.01,23.0,21.95,Tox21,,0.04565217391304355,6
0.025,23.0,54.875,Tox21,,-1.3858695652173911,6
0.05,23.0,109.75,Tox21,,-3.7717391304347823,6
0.1,23.0,219.5,Tox21,,-8.543478260869565,6
0.2,23.0,439.0,Tox21,,-18.08695652173913,6
0.5,23.0,1097.5,Tox21,,-46.71739130434783,6
0.001,24.0,2.195,Tox21,,0.9085416666666667,7
0.005,24.0,10.975,Tox21,,0.5427083333333333,7
0.01,24.0,21.95,Tox21,,0.0854166666666667,7
0.025,24.0,54.875,Tox21,,-1.2864583333333335,7
0.05,24.0,109.75,Tox21,,-3.572916666666667,7
0.1,24.0,219.5,Tox21,,-8.145833333333334,7
0.2,24.0,439.0,Tox21,,-17.291666666666668,7
0.5,24.0,1097.5,Tox21,,-44.729166666666664,7
0.001,30.0,6.1,Tox21,,0.7966666666666666,8
0.005,30.0,14.5,Tox21,,0.5166666666666666,8
0.01,30.0,25.0,Tox21,,0.16666666666666663,8
0.025,30.0,56.5,Tox21,,-0.8833333333333333,8
0.05,30.0,109.0,Tox21,,-2.6333333333333333,8
0.1,30.0,214.0,Tox21,,-6.133333333333334,8
0.2,30.0,424.0,Tox21,,-13.133333333333333,8
0.5,30.0,1054.0,Tox21,,-34.13333333333333,8
0.001,23.0,2.195,Tox21,,0.9045652173913044,9
0.005,23.0,10.975,Tox21,,0.5228260869565218,9
0.01,23.0,21.95,Tox21,,0.04565217391304355,9
0.025,23.0,54.875,Tox21,,-1.3858695652173911,9
0.05,23.0,109.75,Tox21,,-3.7717391304347823,9
0.1,23.0,219.5,Tox21,,-8.543478260869565,9
0.2,23.0,439.0,Tox21,,-18.08695652173913,9
0.5,23.0,1097.5,Tox21,,-46.71739130434783,9
0.001,28.0,2.195,Tox21,,0.9216071428571428,10
0.005,28.0,10.975,Tox21,,0.6080357142857142,10
0.01,28.0,21.95,Tox21,,0.21607142857142858,10
0.025,28.0,54.875,Tox21,,-0.9598214285714286,10
0.05,28.0,109.75,Tox21,,-2.919642857142857,10
0.1,28.0,219.5,Tox21,,-6.839285714285714,10
0.2,28.0,439.0,Tox21,,-14.678571428571429,10
0.5,28.0,1097.5,Tox21,,-38.19642857142857,10
0.001,26.0,6.093999999999999,Tox21,,0.7656153846153846,11
0.005,26.0,14.47,Tox21,,0.44346153846153846,11
0.01,26.0,24.94,Tox21,,0.04076923076923067,11
0.025,26.0,56.35,Tox21,,-1.1673076923076922,11
0.05,26.0,108.7,Tox21,,-3.180769230769231,11
0.1,26.0,213.4,Tox21,,-7.207692307692309,11
0.2,26.0,422.8,Tox21,,-15.26153846153846,11
0.5,26.0,1051.0,Tox21,,-39.42307692307692,11
0.001,29.0,6.088,Tox21,,0.7900689655172414,12
0.005,29.0,14.44,Tox21,,0.5020689655172415,12
0.01,29.0,24.88,Tox21,,0.14206896551724146,12
0.025,29.0,56.2,Tox21,,-0.9379310344827587,12
0.05,29.0,108.4,Tox21,,-2.737931034482759,12
0.1,29.0,212.8,Tox21,,-6.337931034482759,12
0.2,29.0,421.6,Tox21,,-13.53793103448276,12
0.5,29.0,1048.0,Tox21,,-35.13793103448276,12
0.001,24.0,2.195,Tox21,,0.9085416666666667,13
0.005,24.0,10.975,Tox21,,0.5427083333333333,13
0.01,24.0,21.95,Tox21,,0.0854166666666667,13
0.025,24.0,54.875,Tox21,,-1.2864583333333335,13
0.05,24.0,109.75,Tox21,,-3.572916666666667,13
0.1,24.0,219.5,Tox21,,-8.145833333333334,13
0.2,24.0,439.0,Tox21,,-17.291666666666668,13
0.5,24.0,1097.5,Tox21,,-44.729166666666664,13
0.001,27.0,2.195,Tox21,,0.9187037037037037,14
0.005,27.0,10.975,Tox21,,0.5935185185185186,14
0.01,27.0,21.95,Tox21,,0.1870370370370371,14
0.025,27.0,54.875,Tox21,,-1.0324074074074074,14
0.05,27.0,109.75,Tox21,,-3.064814814814815,14
0.1,27.0,219.5,Tox21,,-7.12962962962963,14
0.2,27.0,439.0,Tox21,,-15.25925925925926,14
0.5,27.0,1097.5,Tox21,,-39.648148148148145,14
0.001,21.0,2.195,Tox21,,0.8954761904761905,15
0.005,21.0,10.975,Tox21,,0.47738095238095235,15
0.01,21.0,21.95,Tox21,,-0.0452380952380953,15
0.025,21.0,54.875,Tox21,,-1.6130952380952381,15
0.05,21.0,109.75,Tox21,,-4.226190476190476,15
0.1,21.0,219.5,Tox21,,-9.452380952380953,15
0.2,21.0,439.0,Tox21,,-19.904761904761905,15
0.5,21.0,1097.5,Tox21,,-51.26190476190476,15
0.001,26.0,6.095000000000001,Tox21,,0.765576923076923,16
0.005,26.0,14.475,Tox21,,0.44326923076923075,16
0.01,26.0,24.95,Tox21,,0.04038461538461546,16
0.025,26.0,56.375,Tox21,,-1.1682692307692308,16
0.05,26.0,108.75,Tox21,,-3.1826923076923075,16
0.1,26.0,213.5,Tox21,,-7.211538461538462,16
0.2,26.0,423.0,Tox21,,-15.26923076923077,16
0.5,26.0,1051.5,Tox21,,-39.44230769230769,16
0.001,27.0,2.195,Tox21,,0.9187037037037037,17
0.005,27.0,10.975,Tox21,,0.5935185185185186,17
0.01,27.0,21.95,Tox21,,0.1870370370370371,17
0.025,27.0,54.875,Tox21,,-1.0324074074074074,17
0.05,27.0,109.75,Tox21,,-3.064814814814815,17
0.1,27.0,219.5,Tox21,,-7.12962962962963,17
0.2,27.0,439.0,Tox21,,-15.25925925925926,17
0.5,27.0,1097.5,Tox21,,-39.648148148148145,17
0.001,22.0,2.195,Tox21,,0.9002272727272728,18
0.005,22.0,10.975,Tox21,,0.5011363636363637,18
0.01,22.0,21.95,Tox21,,0.002272727272727315,18
0.025,22.0,54.875,Tox21,,-1.4943181818181817,18
0.05,22.0,109.75,Tox21,,-3.9886363636363633,18
0.1,22.0,219.5,Tox21,,-8.977272727272727,18
