seed,deployment_residual,benchmark_conformal_coverage,benchmark_transfer_coverage,oracle_deployment_coverage,response_rank_coverage,benchmark_width,oracle_width,response_rank_width
0,0.4130093899925579,0.96,0.17,0.955,0.955,0.19695654350553396,1.6599165909181384,1.6520375599702315
1,0.9183358034706702,0.955,0.085,0.905,0.945,0.19822690330639198,3.203688775436345,3.673343213882681
2,0.8172679216961201,0.955,0.09,0.975,0.97,0.20484945929913628,3.34020437718459,3.2690716867844802
3,0.8150419655186945,0.965,0.15,0.94,0.94,0.22830633878796117,3.162248489168761,3.260167862074778
4,0.6180679378487515,0.96,0.18,0.92,0.935,0.20266087301131286,2.2781920211020803,2.472271751395006
5,0.6558151222281661,0.96,0.125,0.965,0.96,0.19179081965990474,2.723845123890652,2.6232604889126643
6,0.6960231797258712,0.93,0.08,0.94,0.955,0.18451173425704162,2.6357131823350333,2.784092718903485
7,0.8577043200696504,0.87,0.08,0.96,0.965,0.16910426910799173,3.4090352415987337,3.4308172802786014
8,0.879739401311991,0.945,0.105,0.97,0.97,0.19865909961508713,3.5300876942717343,3.518957605247964
9,0.9196105999941881,0.965,0.125,0.955,0.945,0.2104996532665365,3.847554899587112,3.6784423999767526
10,0.81798608237189,0.955,0.125,0.94,0.945,0.20786946995420177,3.132455147266406,3.27194432948756
11,0.6465088809622247,0.95,0.105,0.94,0.96,0.19158256662859854,2.4595402135396607,2.586035523848899
12,0.9166255732539075,0.945,0.075,0.955,0.94,0.2203030287903315,3.971340435771717,3.66650229301563
13,0.949652141701875,0.975,0.06,0.96,0.96,0.19734602296051737,3.8026114282082855,3.7986085668075
14,0.8708051780969238,0.95,0.075,0.965,0.955,0.2096499579521099,3.637092614589327,3.4832207123876953
15,0.9289076738645003,0.92,0.065,0.97,0.955,0.1837396595168473,3.858111596979313,3.7156306954580014
16,0.6831800076689599,0.925,0.165,0.97,0.97,0.19683209330142964,2.5751288606133773,2.7327200306758397
17,0.8789961546336553,0.965,0.06,0.935,0.94,0.21501640587571288,3.484225364715674,3.5159846185346213
18,0.8928688940085769,0.985,0.09,0.89,0.92,0.22434187416098772,3.3672966715284716,3.5714755760343078
19,0.9243501829527351,0.955,0.115,0.95,0.96,0.2095661726331043,3.446064175143378,3.6974007318109403
20,0.8009129269273702,0.945,0.09,0.955,0.95,0.19416047156504224,3.269483056157428,3.2036517077094806
21,0.9329391277342924,0.96,0.11,0.95,0.945,0.19073424875247794,3.754507683863838,3.7317565109371698
22,0.9182701063648391,0.915,0.085,0.97,0.95,0.17803831037233903,4.066862836127265,3.6730804254593563
23,0.878307529280516,0.975,0.095,0.93,0.965,0.23147276080155466,3.215649851682175,3.513230117122064
24,0.8656686876445203,0.9,0.12,0.98,0.975,0.181845116564219,3.5977581501036675,3.4626747505780813
25,0.8075214544282836,0.965,0.1,0.885,0.92,0.21920198785134853,2.7754760447224114,3.2300858177131344
26,0.8647140817820942,0.91,0.075,0.945,0.94,0.17307384473050427,3.5607754947077317,3.4588563271283768
27,0.7820041519914512,0.965,0.1,0.93,0.95,0.21541526223949317,2.8785697337487934,3.128016607965805
28,0.9073662707415142,0.985,0.095,0.93,0.935,0.20960176379747766,3.5681888579621024,3.629465082966057
29,0.8109632567298241,0.965,0.065,0.885,0.92,0.22079898360072042,2.8185967073251836,3.2438530269192962
30,0.9195961415959968,0.98,0.08,0.925,0.935,0.2117427669485181,3.442087869583844,3.678384566383987
31,0.9295374727729547,0.94,0.075,0.985,0.98,0.19230701972295294,3.87092185946483,3.718149891091819
32,0.6490849701937831,0.945,0.09,0.985,0.955,0.20925681975256025,3.105681274688942,2.5963398807751323
33,0.8977588327807544,0.955,0.105,0.945,0.97,0.19766460612263695,3.416759952078493,3.5910353311230176
34,0.7318049854668787,0.945,0.105,0.955,0.96,0.19141304612727036,2.8213474021214227,2.9272199418675147
35,0.8083688308543631,0.915,0.11,0.945,0.945,0.19117782549409362,3.2638946457333953,3.2334753234174523
36,0.7990900044928092,0.98,0.1,0.925,0.93,0.20002243741382053,3.157770234555518,3.196360017971237
37,0.6783595369929992,0.945,0.1,0.97,0.96,0.1983631388913405,2.8079973100085787,2.713438147971997
38,0.6437242622888032,0.96,0.12,0.94,0.945,0.20338997390131228,2.5198850988385044,2.574897049155213
39,0.9231901346231333,0.97,0.07,0.945,0.95,0.21592672762712856,3.6558035890766343,3.692760538492533
40,0.82450555037279,0.93,0.09,0.905,0.905,0.18498956785958726,3.2689811300414684,3.29802220149116
41,0.651088049552246,0.92,0.135,0.965,0.965,0.19747454674240184,2.6265828601496493,2.604352198208984
42,0.9340550087947201,0.975,0.12,0.905,0.935,0.21321585185528616,3.41510712328007,3.7362200351788806
43,0.9234607103190565,0.935,0.075,0.965,0.955,0.1828497791577259,4.221040098792884,3.693842841276226
44,0.8852633303296912,0.925,0.095,0.95,0.955,0.19225876946304749,3.496672923382075,3.5410533213187647
45,0.577211018400703,0.945,0.155,0.94,0.955,0.1990020110427562,2.25149875279739,2.308844073602812
46,0.8315689860338324,0.965,0.1,0.92,0.955,0.22187870720579783,3.056331186317699,3.32627594413533
47,0.8657143339241468,0.945,0.105,0.925,0.935,0.18785214129155245,3.2299959587083515,3.462857335696587
48,0.9181150293876704,0.975,0.075,0.97,0.945,0.2081176997974431,4.268727429822097,3.6724601175506817
49,0.8881137657310012,0.965,0.07,0.925,0.925,0.20882533695150263,3.57215423179575,3.552455062924005
