seed,setting,model,span_rank,benchmark_mae,deployment_residual,certified_fraction
3000,structured,A,3,0.031044747733996608,0.7623043424773329,0.1
3000,structured,B,4,0.05253284515318201,0.6921440742767402,0.18
3000,structured,C,6,0.0908598001582975,0.468699805025839,0.79
3000,structured,D,7,0.12969014065768267,0.43847339013985726,0.78
3000,structured,E,8,0.1662211823678082,0.048928596092448165,1.0
4000,null_equal_noise,A,3,0.08153821193787678,0.7838664630552288,0.06
4000,null_equal_noise,B,4,0.085454870543585,0.6902995340601802,0.14
4000,null_equal_noise,C,6,0.08065260666851151,0.5009994533627865,0.61
4000,null_equal_noise,D,7,0.081847849596893,0.3502152372472849,0.93
4000,null_equal_noise,E,8,0.07864637964226705,0.054841938234771535,1.0
3001,structured,A,3,0.03345439740324251,0.7880072510947526,0.06
3001,structured,B,4,0.05747211745709848,0.6877109311131917,0.21
3001,structured,C,6,0.09148851723844804,0.5370558487758298,0.5
3001,structured,D,7,0.13022761956660117,0.39328608144443294,0.78
3001,structured,E,8,0.17984127414058174,0.06068680761484398,1.0
4001,null_equal_noise,A,3,0.0800559234950316,0.7581195474537029,0.05
4001,null_equal_noise,B,4,0.08023639419574877,0.7216506039715502,0.17
4001,null_equal_noise,C,6,0.08177950821509629,0.45385920408692765,0.76
4001,null_equal_noise,D,7,0.08104868007580758,0.2795424388205968,1.0
4001,null_equal_noise,E,8,0.07894415913590952,0.08891529099343211,1.0
3002,structured,A,3,0.032881805683073105,0.7910583216070491,0.05
3002,structured,B,4,0.05812624764727122,0.724981558758118,0.09
3002,structured,C,6,0.0894610875851819,0.5834389861383245,0.37
3002,structured,D,7,0.12227159568026212,0.30184277062218484,0.99
3002,structured,E,8,0.17347265731142056,0.09556436238961463,1.0
4002,null_equal_noise,A,3,0.08068029727049447,0.8075333081137084,0.03
4002,null_equal_noise,B,4,0.08041246214499762,0.7077432292929887,0.17
4002,null_equal_noise,C,6,0.07612622158218246,0.4669623401502737,0.72
4002,null_equal_noise,D,7,0.07821147637718953,0.39979425405828134,0.92
4002,null_equal_noise,E,8,0.08283071217014444,0.03417725727846408,1.0
3003,structured,A,3,0.03249889889513884,0.8194076409032554,0.02
3003,structured,B,4,0.055822378398115984,0.6859159340046712,0.18
3003,structured,C,6,0.08824375951720867,0.5170576977487482,0.6
3003,structured,D,7,0.12560516355895393,0.3047190324761278,0.99
3003,structured,E,8,0.17392288822395283,0.09937238243858774,1.0
4003,null_equal_noise,A,3,0.07961470516966042,0.808839711697011,0.02
4003,null_equal_noise,B,4,0.08451295878422743,0.7289711055583539,0.1
4003,null_equal_noise,C,6,0.08691425848715416,0.49317827272183434,0.6
4003,null_equal_noise,D,7,0.07829208373110572,0.409467782726691,0.88
4003,null_equal_noise,E,8,0.0746585519077341,0.08558951059248521,1.0
3004,structured,A,3,0.03238960886905935,0.7760758953326867,0.07
3004,structured,B,4,0.05810040578497639,0.7004119908305079,0.1
3004,structured,C,6,0.08731555958010147,0.5574000108919825,0.53
3004,structured,D,7,0.12954895446355438,0.3663672488558572,0.97
3004,structured,E,8,0.18496549604428345,0.11310275274930533,1.0
4004,null_equal_noise,A,3,0.08205756121043156,0.7870504585489749,0.04
4004,null_equal_noise,B,4,0.08058268030950434,0.7249642230329973,0.12
4004,null_equal_noise,C,6,0.08012658194978053,0.4050520956758107,0.85
4004,null_equal_noise,D,7,0.0819332066684979,0.43474969874860414,0.86
4004,null_equal_noise,E,8,0.07987608885270998,0.06775228707198827,1.0
3005,structured,A,3,0.028975424242196055,0.8034367881525764,0.03
3005,structured,B,4,0.059959519417362446,0.6876785266523504,0.13
3005,structured,C,6,0.09067062298767252,0.512945041260324,0.63
3005,structured,D,7,0.12961047712961446,0.3129634241660009,1.0
3005,structured,E,8,0.17898456595679885,0.0433398234853294,1.0
4005,null_equal_noise,A,3,0.07847807042703933,0.7757331930741415,0.05
4005,null_equal_noise,B,4,0.0801983474447612,0.741223024801445,0.11
4005,null_equal_noise,C,6,0.07998812062510215,0.45777075330475664,0.7
4005,null_equal_noise,D,7,0.08056516380107999,0.3809016254564813,0.9
4005,null_equal_noise,E,8,0.07437789219626725,0.09257941387238665,1.0
3006,structured,A,3,0.032552622665042476,0.7509165659711478,0.09
3006,structured,B,4,0.05245270562246261,0.6893471527673568,0.19
3006,structured,C,6,0.08910277670793253,0.5410805582294219,0.56
3006,structured,D,7,0.12765499657212334,0.3122541269567141,0.99
3006,structured,E,8,0.18648957541743788,0.011274356521231009,1.0
4006,null_equal_noise,A,3,0.08394180162996702,0.8038502305043962,0.06
4006,null_equal_noise,B,4,0.0763310194145305,0.693012545073243,0.28
4006,null_equal_noise,C,6,0.07572955920515959,0.49113915183607426,0.67
4006,null_equal_noise,D,7,0.08543629072793449,0.30722659149376996,1.0
4006,null_equal_noise,E,8,0.07947286779766219,0.17735979900287085,1.0
3007,structured,A,3,0.03144906217197093,0.7865563825956858,0.05
3007,structured,B,4,0.05943393014001619,0.7296970341875595,0.15
3007,structured,C,6,0.08957590418832098,0.5058499623843521,0.6
3007,structured,D,7,0.12898326929181406,0.3197262190983491,1.0
3007,structured,E,8,0.17963247057348558,0.02690147733330329,1.0
4007,null_equal_noise,A,3,0.0802567657897622,0.7941304874461552,0.07
4007,null_equal_noise,B,4,0.07998466463587306,0.6715708689630416,0.22
4007,null_equal_noise,C,6,0.08058866742494232,0.494196619832983,0.63
4007,null_equal_noise,D,7,0.07872176763657615,0.45913376044541715,0.72
4007,null_equal_noise,E,8,0.08794602712640415,0.10589848670465005,1.0
3008,structured,A,3,0.033758067196621735,0.8055676593563018,0.09
3008,structured,B,4,0.057614653731300335,0.6783754772380644,0.27
3008,structured,C,6,0.09297944452961633,0.4195302229017972,0.82
3008,structured,D,7,0.13095342216472108,0.36469745270943443,0.99
3008,structured,E,8,0.17979910773366364,0.10013105976477352,1.0
