setting,model,n_runs,mean_benchmark_mae,mean_certified_fraction,std_certified_fraction
structured,A,50,0.03213296540993298,0.062400000000000004,0.033169939673734467
structured,B,50,0.05616365612411344,0.15560000000000002,0.06602905977441961
structured,C,50,0.08814873011608798,0.6332,0.1253149501643514
structured,D,50,0.12741706965080105,0.9329999999999998,0.07936611110440485
structured,E,50,0.17658443992601852,1.0,0.0
structured,best_mae_not_best_cert,50,nan,1.0,nan
null_equal_noise,A,50,0.07948774508795099,0.0684,0.03352489175742315
null_equal_noise,B,50,0.07971718572607353,0.17620000000000002,0.06451989093706384
null_equal_noise,C,50,0.07965320789975,0.6296,0.13332421737544722
null_equal_noise,D,50,0.08057924142078857,0.9081999999999999,0.08695976080923866
null_equal_noise,E,50,0.0790841480967781,1.0,0.0
null_equal_noise,best_mae_not_best_cert,50,nan,0.72,nan
