seed,policy,step,n_selected_probes,selected_probes,last_added_probe,n_calibration,n_test,deployment_active_prevalence,n_certified,certified_fraction,false_decisions,false_decision_rate_all,error_rate_among_certified,active_found,inactive_found,active_yield,inactive_yield
0,response_rank,0,7,NR-AR;NR-AR-LBD;NR-AhR;NR-Aromatase;NR-ER;NR-ER-LBD;NR-PPAR-gamma,,1540,1539,0.009746588693957114,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
0,response_rank,1,8,NR-AR;NR-AR-LBD;NR-AhR;NR-Aromatase;NR-ER;NR-ER-LBD;NR-PPAR-gamma;SR-MMP,SR-MMP,1540,1539,0.009746588693957114,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
0,response_rank,2,9,NR-AR;NR-AR-LBD;NR-AhR;NR-Aromatase;NR-ER;NR-ER-LBD;NR-PPAR-gamma;SR-MMP;SR-HSE,SR-HSE,1540,1539,0.009746588693957114,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
0,response_rank,3,10,NR-AR;NR-AR-LBD;NR-AhR;NR-Aromatase;NR-ER;NR-ER-LBD;NR-PPAR-gamma;SR-MMP;SR-HSE;SR-ATAD5,SR-ATAD5,1540,1539,0.009746588693957114,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
0,response_rank,4,11,NR-AR;NR-AR-LBD;NR-AhR;NR-Aromatase;NR-ER;NR-ER-LBD;NR-PPAR-gamma;SR-MMP;SR-HSE;SR-ATAD5;SR-ARE,SR-ARE,1540,1539,0.009746588693957114,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
0,uncertainty,0,7,NR-AR;NR-AR-LBD;NR-AhR;NR-Aromatase;NR-ER;NR-ER-LBD;NR-PPAR-gamma,,1540,1539,0.009746588693957114,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
0,uncertainty,1,8,NR-AR;NR-AR-LBD;NR-AhR;NR-Aromatase;NR-ER;NR-ER-LBD;NR-PPAR-gamma;SR-ARE,SR-ARE,1540,1539,0.009746588693957114,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
0,uncertainty,2,9,NR-AR;NR-AR-LBD;NR-AhR;NR-Aromatase;NR-ER;NR-ER-LBD;NR-PPAR-gamma;SR-ARE;SR-MMP,SR-MMP,1540,1539,0.009746588693957114,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
0,uncertainty,3,10,NR-AR;NR-AR-LBD;NR-AhR;NR-Aromatase;NR-ER;NR-ER-LBD;NR-PPAR-gamma;SR-ARE;SR-MMP;SR-HSE,SR-HSE,1540,1539,0.009746588693957114,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
0,uncertainty,4,11,NR-AR;NR-AR-LBD;NR-AhR;NR-Aromatase;NR-ER;NR-ER-LBD;NR-PPAR-gamma;SR-ARE;SR-MMP;SR-HSE;SR-ATAD5,SR-ATAD5,1540,1539,0.009746588693957114,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
0,diversity,0,7,NR-AR;NR-AR-LBD;NR-AhR;NR-Aromatase;NR-ER;NR-ER-LBD;NR-PPAR-gamma,,1540,1539,0.009746588693957114,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
0,diversity,1,8,NR-AR;NR-AR-LBD;NR-AhR;NR-Aromatase;NR-ER;NR-ER-LBD;NR-PPAR-gamma;SR-HSE,SR-HSE,1540,1539,0.009746588693957114,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
